tag,format,split,theta,policy,global_auc,beat_precision,beat_recall,beat_far,beat_f1,alert_rate,event_precision,event_recall,event_f1,false_alarm_blocks,fp_per_record,fp_per_1000_beats,median_latency_beats
exp7c_int8_tflite,tflite_int8,test,0.4,1-of-1,0.889437,0.278326,0.926189,0.292668,0.428027,0.361486,0.50371,0.952894,0.659043,3612,157.043478,69.618179,0.0
exp7c_int8_tflite,tflite_int8,test,0.4,2-of-3,0.889437,0.184909,0.55873,0.300149,0.277861,0.328239,0.420843,0.499103,0.456644,1456,63.304348,28.063142,0.0
exp7c_int8_tflite,tflite_int8,test,0.4,2-of-4,0.889437,0.193273,0.723918,0.36824,0.305092,0.406877,0.531237,0.684163,0.598079,1118,48.608696,21.548484,0.0
exp7c_int8_tflite,tflite_int8,test,0.4,3-of-5,0.889437,0.181474,0.535664,0.294441,0.271103,0.320645,0.487966,0.48183,0.484879,851,37.0,16.40229,0.0
exp7c_int8_tflite,tflite_int8,test,0.4,4-of-7,0.889437,0.181813,0.534244,0.292992,0.271298,0.319199,0.52506,0.468147,0.494973,597,25.956522,11.506659,0.0
exp7c_int8_tflite,tflite_int8,test,0.4,5-of-5,0.889437,0.155334,0.182399,0.120873,0.167782,0.127556,0.34471,0.100269,0.15535,384,16.695652,7.401268,0.0
exp7c_int8_tflite,tflite_int8,test,0.45,1-of-1,0.889437,0.399524,0.804649,0.147383,0.533938,0.218781,0.609483,0.83266,0.703803,2265,98.478261,43.655918,0.0
exp7c_int8_tflite,tflite_int8,test,0.45,2-of-3,0.889437,0.235187,0.368346,0.145977,0.287077,0.170133,0.480868,0.292956,0.364097,909,39.521739,17.52019,0.0
exp7c_int8_tflite,tflite_int8,test,0.45,2-of-4,0.889437,0.259619,0.544713,0.18931,0.351641,0.227917,0.632583,0.487214,0.550463,751,32.652174,14.474876,0.0
exp7c_int8_tflite,tflite_int8,test,0.45,3-of-5,0.889437,0.2253,0.326118,0.136658,0.266493,0.157238,0.533512,0.251009,0.341397,522,22.695652,10.061099,0.0
exp7c_int8_tflite,tflite_int8,test,0.45,4-of-7,0.889437,0.224142,0.312988,0.13203,0.261217,0.151687,0.557072,0.224092,0.319613,357,15.521739,6.880867,0.0
exp7c_int8_tflite,tflite_int8,test,0.45,5-of-5,0.889437,0.209287,0.110362,0.050814,0.144517,0.057283,0.282759,0.026021,0.047656,208,9.043478,4.00902,0.0
exp7c_int8_tflite,tflite_int8,test,0.5,1-of-1,0.889437,0.452825,0.607168,0.089411,0.51876,0.145655,0.643519,0.625841,0.634557,1540,66.956522,29.682169,0.0
exp7c_int8_tflite,tflite_int8,test,0.5,2-of-3,0.889437,0.242677,0.211675,0.080503,0.226118,0.094752,0.450999,0.13459,0.207312,577,25.086957,11.121176,0.0
exp7c_int8_tflite,tflite_int8,test,0.5,2-of-4,0.889437,0.278331,0.337296,0.10658,0.30499,0.131642,0.620979,0.271422,0.377739,542,23.565217,10.446582,0.0
exp7c_int8_tflite,tflite_int8,test,0.5,3-of-5,0.889437,0.228979,0.176366,0.072372,0.199258,0.083669,0.464401,0.09511,0.157885,331,14.391304,6.379739,0.0
exp7c_int8_tflite,tflite_int8,test,0.5,4-of-7,0.889437,0.234089,0.170334,0.067918,0.197186,0.079043,0.485588,0.083221,0.142091,232,10.086957,4.4716,0.0
